page,2013-04-01 pi,2013-05-01 pi,2013-06-01 pi,2013-07-01 pi,2013-08-01 pi,2013-09-01 pi,2013-10-01 pi,2013-11-01 pi,2013-12-01 pi,2014-01-01 pi,2014-02-01 pi,2014-03-01 pi,2014-04-01 pi,2014-05-01 pi,2014-06-01 pi,2014-07-01 pi,2014-08-01 pi,2014-09-01 pi,2014-10-01 pi,2014-11-01 pi,2014-12-01 pi,2015-01-01 pi,2015-02-01 pi,2015-03-01 pi,2015-04-01 pi,2015-05-01 pi,2015-06-01 pi,2015-07-01 pi,2015-08-01 pi,2015-09-01 pi,2015-10-01 pi,2015-11-01 pi,2015-12-01 pi,2016-01-01 pi,2016-02-01 pi,2016-03-01 pi,2016-04-01 pi,2016-05-01 pi,2016-06-01 pi,2016-07-01 pi,2016-08-01 pi,2016-09-01 pi,2016-10-01 pi,2016-11-01 pi,2016-12-01 pi,2017-01-01 pi,2017-02-01 pi,2017-03-01 pi,2017-04-01 pi,2017-05-01 pi,2017-06-01 pi,2017-07-01 pi,2017-08-01 pi,2017-09-01 pi,2017-10-01 pi,2017-11-01 pi,2017-12-01 pi,2018-01-01 pi,2018-02-01 pi,2018-03-01 pi,2018-04-01 pi,2018-05-01 pi,sum
liste-der-häufigen-vornamen-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,10,727,671,181,279,1871
alkis-berlin-amtliches-liegenschaftskatasterinformationssystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,45,138,211,410
openstreetmap-daten-für-berlin,,,,,,,,,,,,,,123,178,279,119,125,185,146,102,153,84,80,86,92,107,113,58,81,121,144,90,127,129,114,261,147,129,148,164,122,143,129,176,294,216,249,209,191,132,130,112,105,257,180,99,193,126,198,186,202,7334
einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,147
liste-der-häufigen-vornamen-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,59,172,5575,486,370,282,295,236,245,251,267,246,346,229,221,128,128,9539
liste-der-häufigen-vornamen-2013,,,,,,,,,,,343,78,35,88,39,75,37,63,77,81,67,81,66,88,87,74,57,46,51,50,56,66,35,54,45,64,42,53,40,47,46,43,52,63,60,71,60,103,83,63,68,71,54,49,75,88,115,155,136,119,107,102,3868
alkis-berlin-flurstücke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,14,36,62,91,211
vbb-fahrplandaten-mitte-april-2018-bis-mitte-dezember-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,87,107
bsr-straßenreinigung-verzeichnisse-und-reinigungsklassen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,11,32,16,10,43,3,23,10,18,22,71,35,145,93,76,57,38,46,69,60,66,98,121,59,100,65,136,50,85,1677
vbb-fahrplandaten-mitte-februar2018-bis-mitte-dezember-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,153,127,78,378
einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-30062017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,73
schutzgebiete-nach-naturschutzrecht-wfs-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70
verkehr-und-personenaufkommen-am-ernst-reuter-platz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,65,69,160
alkis-berlin-gemarkung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,25,47,75,66,218
einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,66
lod2-gebäudedaten-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,118,216,162,87,87,197,107,52,78,61,56,34,41,28,23,25,26,31,22,20,48,35,44,46,47,40,32,43,35,157,177,67,89,47,82,61,61,2582
14-radrouten-und-radverkehrsanlagen-gps-tracks-für-die-radrouten-durch-berlin,79,113,114,90,96,49,37,24,19,45,37,59,99,82,63,84,133,66,67,27,20,30,35,31,38,70,67,72,45,59,36,25,24,40,53,40,59,98,93,65,76,56,33,12,5,41,20,36,33,39,37,51,57,41,23,18,7,30,23,24,39,58,3142
einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-nach-wohndauer-am-31122017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,56
einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,56,58
senatsvorlagen-der-senatsverwaltung-für-finanzen,,,,,,,,,,,,,22,18,16,7,10,14,17,64,29,33,26,37,47,24,27,41,36,42,34,40,28,50,29,36,16,17,24,26,15,43,59,49,27,23,31,66,32,65,64,66,78,44,48,52,26,52,33,37,32,53,1805
breitbandversorgung-alle-technologien-privatverfügbarkeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,16,5,3,1,46,77
vbb-fahrplandaten-api,96,160,101,63,61,64,62,50,24,59,48,52,57,54,41,44,57,34,37,34,23,27,29,32,20,20,23,20,14,27,34,28,50,49,55,37,53,44,49,34,27,37,57,83,62,47,40,85,125,108,49,52,70,39,52,56,37,37,47,63,44,43,3126
wochen-und-trödelmärkte-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,59,47,83,24,47,34,43,393
vbb-fahrplan2012,217,154,113,105,89,82,119,57,38,52,45,26,51,39,45,42,24,40,41,28,26,28,32,20,19,27,32,24,19,29,27,33,19,12,20,11,7,24,13,19,10,5,15,16,8,12,9,9,7,10,12,19,14,10,16,13,11,15,26,20,26,43,2174
branchenübersicht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,18,8,4,6,14,13,16,6,8,12,47,19,12,21,15,40,8,17,18,42,350
einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-am-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41
tourismuszahlen-jan-bis-laufend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,15,11,6,14,14,8,63,15,6,43,40,241
einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,104,108,72,59,85,69,114,132,92,109,115,89,32,23,29,31,25,30,33,16,12,26,27,29,34,40,1604
berliner-wasserbetriebe-wasseranalysedaten-der-wasserwerke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,56,25,46,33,23,38,290
liste-der-stolpersteine-berlin,,,31,121,42,69,79,83,46,54,46,46,65,37,45,73,39,33,44,25,19,49,34,41,33,27,24,25,13,23,28,25,18,25,31,56,59,75,50,46,36,40,53,58,27,37,35,45,48,56,26,32,41,22,45,57,34,36,38,42,44,38,2569
liste-der-verbannten-bücher-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,37,119,56,40,23,18,31,27,34,11,8,20,21,15,8,9,16,11,10,25,37,656
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36
lebensweltlich-orientierte-räume-lor-berlin,82,43,71,44,47,25,56,56,36,41,34,37,50,36,57,55,40,32,39,37,33,37,29,52,33,91,102,58,28,26,46,22,36,42,36,29,28,21,21,28,36,18,28,31,31,76,59,22,35,28,33,46,31,37,48,40,27,33,39,49,24,36,2523
liste-der-diplomaten-kennzeichen-d,16,27,52,91,99,91,79,64,46,62,47,33,46,45,35,41,36,24,36,31,35,61,42,50,37,47,35,38,22,32,36,56,42,45,76,69,39,43,71,31,29,26,34,28,14,25,33,31,34,28,39,34,33,22,29,35,36,30,34,42,34,35,2593
liste-der-badestellen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,35,3,5,5,2,11,139,79,70,19,12,16,38,5,15,4,17,11,5,59,79,84,80,19,8,2,21,5,25,36,34,962
geometrien-der-wahlbezirke-für-die-bundestagswahl-berlin-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,293,1840,219,132,91,74,39,36,39,32,2830
100-mbit-breitbandversorgung-über-alle-technologien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,52,33,19,41,31,187
gesundheitsberichterstattung-berlin-kontext-gesundheitsmonitoring-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,30,44
denkmalkarte-berlin-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,5,15,4,11,15,15,9,6,5,21,22,30,11,13,10,21,30,25,75,38,16,22,10,9,7,30,491
detailnetz-berlin-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13,11,9,7,6,5,7,6,4,7,19,13,28,25,46,24,47,48,52,41,48,21,30,39,20,7,30,620
einwohnerregister-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,74,51,30,199
einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-30062016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,143,93,130,118,83,30,28,44,28,41,51,43,33,22,44,23,20,48,29,1181
digitale-topographische-karte-1-25-000-dtk25-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,1,3,6,5,5,3,2,4,,5,3,2,2,3,6,1,4,1,3,4,,,,12,29,29,141
einwohnerinnen-und-einwohner-nach-wohnlagen-den-lor-planungsräumen-am-31122017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28
zuwendungsdatenbank,,,,,,,,,,,,,,,,,,50,11,33,21,45,22,13,40,56,37,29,8,7,7,16,9,7,14,10,12,6,8,46,24,14,48,31,16,12,16,24,11,15,20,30,28,25,18,60,23,38,16,11,63,27,1077
vbb-fahrplandaten-mitte-mai-2018-bis-mitte-dezember-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27
esf-geförderte-vorhaben-des-landes-berlin-2014-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3,,,25,45
einwohnerinnen-und-einwohner-nach-wohnlagen-den-lor-planungsräumen-am-31122015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,47,59,26,13,24,27,30,61,15,21,25,22,28,21,32,30,19,28,20,33,21,26,28,41,31,24,783
auslastung-der-beherbergungsbetriebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,19,9,29,18,6,30,9,15,29,24,232
liste-der-verbannten-bücher,,,23,810,67,42,38,35,13,28,17,78,205,107,73,166,38,34,134,110,66,83,74,95,148,95,68,78,64,49,37,39,47,55,39,49,52,30,40,46,24,26,24,48,24,30,18,24,44,25,29,24,20,22,27,13,13,29,30,20,30,24,3840
öffentliche-beleuchtung-wms-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,24,26
einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-am-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,25,40,45,28,42,64,46,44,39,45,49,70,45,23,633
alkis-berlin-gemeinde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,6,20,23,58
api-der-deutschen-digitalen-bibliothek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,19,16,12,15,22,118
jahresabschluss-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,21,8,13,7,11,19,27,21,157
tourismus-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,37,29,20,28,41,11,47,25,20,23,21,305
verschenken-statt-wegwerfen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,49,23,23,8,38,66,30,78,60,16,15,10,15,19,22,10,14,5,11,8,21,631
berliner-betriebskostenübersicht-2013,,,,,,,,43,38,24,34,19,23,18,38,24,18,13,19,23,20,20,19,24,17,10,16,11,9,17,9,18,12,19,14,10,14,16,10,8,10,8,17,15,10,14,16,17,23,24,20,23,17,20,17,21,17,20,8,19,18,20,1001
luftbilder-1928-maßstab-14-000-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,8,16,17,23,16,32,12,25,20,26,32,23,29,56,21,36,22,20,447
